Date,Description,Linear Regression,Decision Tree,Random Forest,Gradient Boosting,KNN,Neural Network,SVR
2024-04-21,All Values non numeric or with less then 5 Values are out,6.926035815550435,9.418819456268423,7.624309173454988,7.506591557558731,8.258143235094355,7.595291081359008,10.54855315541004
2024-04-21,Data normalized with Z-Score,6.926035607890158,8.34387772437246,7.37285541661778,7.497451936123367,8.092124572044915,9.259179408027164,7.7007108582215515
2024-04-21,linear interpolation for all the values that are not going on the weekend,6.138929449712306,6.902003965376974,6.840996094871063,6.512399094704024,7.2306224276357955,8.791921320950145,6.918799233889847
2024-04-22,used mean price for next day percentage calculation instead of closing price,5.2311297650838355,6.006049757496929,6.158534089728224,6.0856396833051045,6.182994208789661,5.939991983036203,6.191997710895093
2024-04-22,added weekday from 0-6 for monday to sunday,5.257157797880456,6.104603343581771,6.292407976181972,5.98966013678663,6.235504775059633,5.680476105080928,6.139712899228996
2024-04-22,added the price change to the day before,5.239859922208637,6.41802206413029,5.926685782390572,6.067727201441948,6.180765922720821,5.805686724313492,6.199472340993456
2024-04-22,added price change to 3 days before,5.280891708166603,6.461405120224929,5.970014102147437,5.977174095876903,6.142116174429501,5.439382585988491,6.1466133822406555
2024-04-22,Used Finbet to translate the ceo and company news into sentiment score for every day,5.266809178439069,6.679606854618579,5.95311389172246,6.024135692215342,6.152650748597547,5.287743159144654,6.172582525330033
2024-04-29,used standart scaler from sklearn instead of zscore,5.242038398362471,6.608499750562073,6.0217314531152555,5.906523800631503,6.144529251120498,5.657429812345122,6.178900395648522
2024-04-29,added pca with automatic dimension reduction,5.24203839836247,6.1735302237624055,5.8255173722269005,5.821574489356314,6.146329744850843,5.480767131153032,6.160671382532872
2024-04-30,nth,5.24203839836247,6.273350791551674,5.659569473729637,5.827627075298566,6.1358754268705376,5.381360436191253,6.162808678491752
2024-05-13,nothing,4.091914351193815,2.206849673407766,1.0038858493046579,1.6093138815504895,1.5384402429153465,6.152554717580758,1.2231353703497758
2024-05-14,nix,3.5210928211635975,2.26634627303236,1.1406218587235022,1.188947044226781,1.6016680235592688,2.93750797958613,1.438523251777803
2024-05-14,nix,3.493768546940863,6.585131081789921,1.1944615274528585,1.4573553779859887,1.5356177711148198,2.6684658386924696,1.4437002733958555
2024-05-15,nix,3.5028415186106896,5.712662060792974,3.920651238668301,3.6406336924120164,4.365999876326416,4.755442621701353,4.371987718582502
2024-05-15,nix,3.5220972901721472,2.5519550083502,3.9467282419441196,3.753399690749762,4.360770595692898,6.132906602162241,4.369589201378076
2024-05-16,nix,4.069455425860239,4.627802293409465,4.2638643085558305,4.252226908630586,4.563122657731773,4.1282933708011,4.667741372154709
2024-06-05,nix,4.047445906691022,5.166542587545772,4.184735087439878,4.28379560951455,4.60102196004534,4.218704754521867,4.68546926188778
